,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
6820,Wizz Air,1,MOW,GR,2,1,244,2000.69,5679,1,Other,tourism
6821,Wizz Air,1,MOW,ES,2,1,244,3787.36,3685,1,Other,tourism
6822,Uzbekistan Airways,0,MOW,UZ,2,0,236,2800.39,6832,0,Uzbekistan Airways,cis
6823,Pobeda,0,MOW,RU,2,1,251,2233.37,3699,0,Pobeda,domestic
6824,Pobeda,0,MOW,RU,2,3,239,1420.68,2949,0,Pobeda,domestic
6825,Nordwind Airlines,1,MOW,RU,2,3,253,600.92,8570,1,Nordwind Airlines,domestic
6826,Pobeda,0,MOW,RU,2,4,261,1429.66,3599,0,Pobeda,domestic
6827,Wizz Air,1,MOW,DE,2,2,252,1934.32,6424,1,Other,culture
6828,Wizz Air,1,MOW,DE,2,2,252,1611.43,4964,1,Other,culture
6829,Uzbekistan Airways,1,MOW,UZ,2,0,236,2156.62,9703,1,Uzbekistan Airways,cis
6830,Aeroflot,2,MOW,US,2,3,246,7315.42,39778,2,Aeroflot,culture
6831,Aeroflot,2,MOW,US,2,5,262,9763.68,39506,2,Aeroflot,culture
6832,Wizz Air,1,MOW,GR,2,1,244,2265.01,5849,1,Other,tourism
6833,Wizz Air,1,MOW,GR,2,5,234,2231.25,7599,1,Other,tourism
6834,S7 Airlines,1,MOW,RU,2,6,235,2850.63,15883,1,S7 Airlines,domestic
6835,Nordwind Airlines,1,MOW,RU,2,3,253,1397.49,7990,1,Nordwind Airlines,domestic
6836,Wizz Air,2,MOW,IT,2,4,247,2219.51,6472,2,Other,culture
6837,Azimut,0,MOW,RU,2,4,261,616.0,1580,0,Azimut,domestic
6838,Pobeda,0,MOW,RU,2,1,251,630.33,1949,0,Pobeda,domestic
6839,Aeroflot,1,MOW,US,2,0,236,8912.06,27772,1,Aeroflot,culture
6840,Aeroflot,1,MOW,US,2,3,246,9019.63,27863,1,Aeroflot,culture
6841,S7 Airlines,0,MOW,RU,2,3,246,444.87,3554,0,S7 Airlines,domestic
6842,Uzbekistan Airways,0,MOW,UZ,2,5,234,2286.26,6760,0,Uzbekistan Airways,cis
6843,Nordwind Airlines,1,MOW,RU,2,4,261,3120.01,8882,1,Nordwind Airlines,domestic
6844,Wizz Air,1,MOW,TR,2,6,249,2185.48,8288,1,Other,tourism
6845,Aeroflot,2,MOW,US,2,2,245,9765.23,30573,2,Aeroflot,culture
